TPG20BT,
,
Student Number,WR 1
200300154,27
200402637,62
202092411,23
202178316,13
204172870,3
204900583,32
205002421,75
205017070,47
206013745,23
206099763,33
206101059,17
206146745,22
206191830,57
206239352,42
206256346,40
206261196,48
206301473,30
207006831,45
207019437,40
207021857,43
207025070,35
207032980,42
207076058,25
207092037,27
207165239,63
207194778,33
207212490,18
207216917,32
207217034,35
207223891,47
207224456,43
207248797,42
207258040,22
207263796,87
207318892,43
207321966,67
207322946,42
207329827,68
208006851,8
208006967,42
208020811,38
208028600,35
208032119,30
208050559,48
208058347,53
208082809,48
208086340,42
208094343,43
208141040,37
208152769,78
208163035,40
208164929,68
208182021,40
208200003,52
208200771,30
208204726,38
208219286,28
208223950,53
208227491,62
208228919,80
208245791,33
208247077,42
208248219,28
208264621,58
208284266,53
208323873,58
209031450,60
209038951,52
209041200,38
209046156,45
209088487,57
209117096,55
209145847,45
209146509,55
209235587,83
209268671,50
209285487,62
209299100,70
209303255,50
209310147,50
209321823,55
210100334,62
210104046,47
210104305,85
210177442,62
END,
